order_id,Date,Item Name,Category,Price,Quantity,Amount Transacted (?),Transaction Type,Gender,Time of Sale,Festival Name
38,29-01-2023,Chilli Paneer,Fastfood,193,5,965,Online,Male,Night,None
39,22-01-2023,Idli,Fastfood,20,3,60,Cash,Female,Morning,None
40,04-01-2023,Naan,Fastfood,115,4,460,Cash,Male,Night,None
41,11-01-2023,Rajma Chawal,Fastfood,223,3,669,Cash,Male,Afternoon,None
42,28-01-2023,Rajma Chawal,Fastfood,223,5,1115,Cash,Female,Afternoon,None
43,31-01-2023,Rajma Chawal,Fastfood,223,5,1115,Cash,Female,Afternoon,None
44,07-01-2023,Fried Rice,Fastfood,281,2,562,Online,Male,Night,None
45,18-01-2023,Masala Dosa,Fastfood,205,2,410,Online,Male,Night,None
46,14-01-2023,Puran Poli,Fastfood,257,3,771,Cash,Male,Night,Makar Sankranti
47,27-01-2023,Veg Pulao,Fastfood,12,1,12,Online,Male,Afternoon,None
48,09-01-2023,Butter Chicken,Fastfood,247,4,988,Online,Male,Night,None
49,31-01-2023,Butter Chicken,Fastfood,247,2,494,Online,Female,Night,None
50,31-01-2023,Pakoda,Fastfood,63,2,126,Online,Male,Evening,None
51,10-01-2023,Paneer Butter Masala,Fastfood,62,4,248,Cash,Female,Afternoon,None
52,23-01-2023,Fried Rice,Fastfood,281,2,562,Online,Male,Night,None
53,22-01-2023,Rajma Chawal,Fastfood,223,2,446,Cash,Female,Afternoon,None
54,18-01-2023,Masala Dosa,Fastfood,205,4,820,Cash,Female,Night,None
55,24-01-2023,Pav Bhaji,Fastfood,101,1,101,Online,Female,Evening,None
56,25-01-2023,Naan,Fastfood,115,5,575,Cash,Female,Night,None
57,24-01-2023,Momos,Fastfood,106,5,530,Online,Male,Evening,None
58,20-01-2023,Rajma Chawal,Fastfood,223,4,892,Online,Male,Afternoon,None
59,24-01-2023,Momos,Fastfood,106,2,212,Cash,Female,Evening,None
60,20-01-2023,Upma,Fastfood,299,4,1196,Cash,Female,Morning,None
61,06-01-2023,Masala Dosa,Fastfood,205,3,615,Cash,Male,Night,None
62,04-01-2023,Samosa,Fastfood,154,2,308,Cash,Female,Evening,None
63,15-01-2023,Veg Pulao,Fastfood,12,5,60,Online,Male,Afternoon,None
64,03-01-2023,Hakka Noodles,Fastfood,229,3,687,Cash,Female,Night,None
65,20-01-2023,Chilli Paneer,Fastfood,193,4,772,Online,Female,Night,None
66,14-01-2023,Puran Poli,Fastfood,257,2,514,Online,Female,Night,Makar Sankranti
67,02-01-2023,Biryani,Fastfood,68,4,272,Cash,Male,Afternoon,None
68,27-01-2023,Biryani,Fastfood,68,1,68,Cash,Male,Afternoon,None
69,09-01-2023,Naan,Fastfood,115,2,230,Cash,Male,Night,None
70,20-01-2023,Masala Dosa,Fastfood,205,5,1025,Online,Female,Night,None
71,02-01-2023,Momos,Fastfood,106,4,424,Cash,Male,Evening,None
72,16-01-2023,Chai,Beverage,53,2,106,Cash,Female,Evening,None
73,25-01-2023,Upma,Fastfood,299,4,1196,Online,Male,Morning,None
74,25-01-2023,Pakoda,Fastfood,63,1,63,Cash,Female,Evening,None
75,25-01-2023,Butter Chicken,Fastfood,247,2,494,Online,Female,Night,None
76,12-01-2023,Poha,Fastfood,121,2,242,Online,Male,Morning,None
77,02-01-2023,Naan,Fastfood,115,4,460,Online,Male,Night,None
78,09-01-2023,Poha,Fastfood,121,3,363,Cash,Male,Morning,None
79,16-01-2023,Chai,Beverage,53,1,53,Online,Female,Morning,None
80,23-01-2023,Upma,Fastfood,299,2,598,Cash,Female,Morning,None
81,22-01-2023,Butter Chicken,Fastfood,247,2,494,Cash,Male,Night,None
82,20-01-2023,Dhokla,Fastfood,135,5,675,Online,Male,Evening,None
83,23-01-2023,Paratha,Fastfood,176,2,352,Cash,Male,Morning,None
84,29-01-2023,Pakoda,Fastfood,63,2,126,Online,Female,Evening,None
85,10-01-2023,Chai,Beverage,53,2,106,Online,Male,Evening,None
86,18-01-2023,Samosa,Fastfood,154,3,462,Online,Female,Evening,None
87,17-01-2023,Chai,Beverage,53,3,159,Cash,Male,Morning,None
88,23-01-2023,Hakka Noodles,Fastfood,229,3,687,Cash,Female,Night,None
89,09-01-2023,Pav Bhaji,Fastfood,101,5,505,Cash,Male,Evening,None
90,27-01-2023,Chilli Paneer,Fastfood,193,1,193,Online,Female,Night,None
91,21-01-2023,Paratha,Fastfood,176,5,880,Cash,Male,Morning,None
92,11-01-2023,Aloo Puri,Fastfood,221,2,442,Online,Male,Morning,None
93,22-01-2023,Momos,Fastfood,106,4,424,Cash,Female,Evening,None
94,15-01-2023,Samosa,Fastfood,154,5,770,Online,Female,Evening,None
95,16-01-2023,Momos,Fastfood,106,4,424,Cash,Male,Evening,None
96,18-01-2023,Butter Chicken,Fastfood,247,3,741,Online,Female,Night,None
97,23-01-2023,Hakka Noodles,Fastfood,229,4,916,Cash,Female,Night,None
98,26-01-2023,Gulab Jamun,Fastfood,36,5,180,Online,Female,Night,Republic Day
99,05-01-2023,Paratha,Fastfood,176,4,704,Cash,Male,Morning,None
100,13-01-2023,Dal Tadka,Fastfood,240,3,720,Cash,Male,Afternoon,None
101,26-02-2023,Bhel Puri,Fastfood,83,3,249,Online,Male,Evening,None
102,20-02-2023,Poha,Fastfood,25,1,25,Online,Female,Morning,None
103,04-02-2023,Gulab Jamun,Fastfood,96,4,384,Online,Male,Night,None
104,19-02-2023,Kachori,Fastfood,40,1,40,Cash,Male,Afternoon,Chhatrapati Shivaji Maharaj Jayanti
105,21-02-2023,Brownies,Fastfood,160,5,800,Cash,Female,Evening,Valentine's Day
106,08-02-2023,Idli,Fastfood,74,1,74,Online,Male,Morning,None
107,07-02-2023,Faral Thali,Fastfood,100,4,400,Cash,Female,Afternoon,Mahashivratri
108,15-02-2023,Sabudana Khichdi,Fastfood,24,4,96,Online,Male,Morning,Mahashivratri
109,08-02-2023,Vada Pav,Fastfood,33,4,132,Cash,Female,Afternoon,None
110,19-02-2023,Filter Coffee,Beverage,40,1,40,Online,Male,Morning,Chhatrapati Shivaji Maharaj Jayanti
111,16-02-2023,Butter Naan,Fastfood,133,4,532,Online,Female,Night,None
112,10-02-2023,Kulfi,Fastfood,109,4,436,Cash,Female,Night,None
113,01-02-2023,Faral Thali,Fastfood,165,4,660,Online,Male,Afternoon,Mahashivratri
114,22-02-2023,Idli,Fastfood,130,5,650,Online,Female,Morning,None
115,02-02-2023,Filter Coffee,Beverage,136,3,408,Online,Male,Morning,None
116,08-02-2023,Sabudana Khichdi,Fastfood,128,2,256,Cash,Female,Morning,Mahashivratri
117,04-02-2023,Filter Coffee,Beverage,193,4,772,Online,Female,Morning,None
118,26-02-2023,Vada Pav,Fastfood,29,5,145,Online,Female,Afternoon,None
119,23-02-2023,Pav Bhaji,Fastfood,46,5,230,Online,Female,Night,None
120,18-02-2023,Chole Bhature,Fastfood,142,3,426,Online,Male,Morning,Mahashivratri
121,12-02-2023,Sabudana Wada,Fastfood,111,3,333,Cash,Female,Morning,Mahashivratri
122,09-02-2023,Sabudana Khichdi,Fastfood,134,2,268,Cash,Female,Morning,Mahashivratri
123,03-02-2023,Bhel Puri,Fastfood,17,3,51,Online,Female,Evening,None
124,04-02-2023,Lassi,Beverage,126,5,630,Online,Female,Afternoon,None
125,01-02-2023,Puranpoli,Fastfood,51,4,204,Cash,Female,Afternoon,Chhatrapati Shivaji Maharaj Jayanti
126,28-02-2023,Nimbu Pani,Beverage,188,1,188,Online,Male,Afternoon,None
127,20-02-2023,Chole Bhature,Fastfood,58,4,232,Cash,Male,Morning,None
128,19-02-2023,Gulab Jamun,Fastfood,178,4,712,Cash,Male,Night,Chhatrapati Shivaji Maharaj Jayanti
129,03-02-2023,Sabudana Khichdi,Fastfood,11,4,44,Cash,Female,Morning,Mahashivratri
130,02-02-2023,Samosa,Fastfood,195,1,195,Online,Female,Evening,None
131,03-02-2023,Tea,Beverage,67,4,268,Cash,Male,Evening,None
132,20-02-2023,Sabudana Khichdi,Fastfood,47,1,47,Online,Female,Morning,Mahashivratri
133,16-02-2023,Butter Naan,Fastfood,11,1,11,Online,Male,Night,None
134,21-02-2023,Jalebi,Fastfood,164,2,328,Cash,Male,Morning,None
135,25-02-2023,Jalebi,Fastfood,104,4,416,Cash,Female,Morning,None
136,23-02-2023,Filter Coffee,Beverage,47,4,188,Cash,Female,Morning,None
137,27-02-2023,Chai,Beverage,61,4,244,Cash,Female,Morning,None
138,23-02-2023,Filter Coffee,Beverage,148,2,296,Online,Male,Morning,None
139,19-02-2023,Tea,Beverage,28,3,84,Cash,Female,Evening,Chhatrapati Shivaji Maharaj Jayanti
140,06-02-2023,Puranpoli,Fastfood,198,1,198,Cash,Male,Afternoon,Chhatrapati Shivaji Maharaj Jayanti
141,24-02-2023,Aloo Paratha,Fastfood,111,4,444,Cash,Female,Morning,None
142,02-02-2023,Masala Dosa,Fastfood,62,4,248,Cash,Male,Morning,None
143,07-02-2023,Paneer Tikka,Fastfood,144,3,432,Cash,Female,Night,None
144,02-02-2023,Brownies,Fastfood,67,5,335,Online,Male,Evening,Valentine's Day
145,05-02-2023,Kachori,Fastfood,50,2,100,Online,Male,Afternoon,None
146,03-02-2023,Rasgulla,Fastfood,84,5,420,Online,Male,Night,None
147,24-02-2023,Idli,Fastfood,140,5,700,Online,Male,Morning,None
148,14-02-2023,Jalebi,Fastfood,26,2,52,Cash,Male,Morning,Valentine's Day
149,24-02-2023,Butter Naan,Fastfood,189,2,378,Cash,Female,Night,None
150,04-02-2023,Aloo Paratha,Fastfood,71,1,71,Cash,Male,Morning,None
151,16-02-2023,Faral Thali,Fastfood,87,1,87,Cash,Male,Afternoon,Mahashivratri
152,22-02-2023,Kachori,Fastfood,183,4,732,Online,Female,Afternoon,None
153,16-02-2023,Kachori,Fastfood,71,4,284,Cash,Female,Afternoon,None
154,04-02-2023,Kulfi,Fastfood,168,4,672,Online,Female,Night,None
155,02-02-2023,Chai,Beverage,163,1,163,Online,Male,Morning,None
156,20-02-2023,Paneer Tikka,Fastfood,89,3,267,Cash,Male,Night,None
157,04-02-2023,Brownies,Fastfood,22,3,66,Cash,Female,Evening,Valentine's Day
158,20-02-2023,Poha,Fastfood,51,3,153,Cash,Male,Morning,None
159,19-02-2023,Brownies,Fastfood,189,4,756,Cash,Male,Evening,Valentine's Day
160,18-02-2023,Rasgulla,Fastfood,138,1,138,Online,Male,Night,Mahashivratri
161,12-02-2023,Pakoda,Fastfood,172,5,860,Online,Female,Evening,None
162,26-02-2023,Brownies,Fastfood,83,2,166,Cash,Female,Evening,Valentine's Day
163,04-02-2023,Bhel Puri,Fastfood,114,1,114,Cash,Male,Evening,None
164,27-02-2023,Butter Naan,Fastfood,57,4,228,Cash,Female,Night,None
165,26-02-2023,Paneer Tikka,Fastfood,34,3,102,Online,Female,Night,None
166,06-02-2023,Tea,Beverage,49,4,196,Cash,Female,Morning,None
167,28-02-2023,Jalebi,Fastfood,33,3,99,Cash,Female,Morning,None
168,18-02-2023,Gulab Jamun,Fastfood,190,1,190,Cash,Female,Night,Mahashivratri
169,11-02-2023,Butter Naan,Fastfood,91,4,364,Online,Female,Night,None
170,23-02-2023,Vada Pav,Fastfood,81,5,405,Cash,Female,Afternoon,None
171,03-02-2023,Pav Bhaji,Fastfood,32,5,160,Online,Female,Night,None
172,14-02-2023,Bhel Puri,Fastfood,44,1,44,Online,Female,Evening,Valentine's Day
173,20-02-2023,Pakoda,Fastfood,177,5,885,Cash,Female,Evening,None
174,01-02-2023,Thandai,Beverage,190,1,190,Online,Female,Night,None
175,20-02-2023,Samosa,Fastfood,120,5,600,Cash,Female,Evening,None
176,18-02-2023,Butter Naan,Fastfood,186,2,372,Cash,Female,Night,Mahashivratri
177,04-02-2023,Paneer Tikka,Fastfood,46,3,138,Online,Female,Night,None
178,04-02-2023,Chole Bhature,Fastfood,14,1,14,Online,Female,Morning,None
179,09-02-2023,Idli,Fastfood,192,3,576,Online,Female,Morning,None
180,03-02-2023,Filter Coffee,Beverage,180,2,360,Online,Male,Morning,None
181,21-02-2023,Aloo Paratha,Fastfood,192,2,384,Online,Female,Morning,None
182,21-02-2023,Tea,Beverage,168,2,336,Online,Female,Evening,None
183,24-02-2023,Pav Bhaji,Fastfood,101,5,505,Cash,Female,Night,None
184,12-02-2023,Rasgulla,Fastfood,152,5,760,Cash,Female,Night,None
185,18-02-2023,Vada Pav,Fastfood,121,3,363,Online,Male,Afternoon,Mahashivratri
186,03-02-2023,Nimbu Pani,Beverage,132,5,660,Cash,Female,Afternoon,None
187,23-02-2023,Poha,Fastfood,89,2,178,Online,Female,Morning,None
188,14-02-2023,Sabudana Khichdi,Fastfood,65,4,260,Cash,Female,Morning,Mahashivratri
189,25-02-2023,Paneer Tikka,Fastfood,147,4,588,Online,Female,Night,None
190,13-02-2023,Poha,Fastfood,37,5,185,Cash,Male,Morning,None
191,05-02-2023,Faral Thali,Fastfood,39,3,117,Cash,Male,Afternoon,Mahashivratri
192,16-02-2023,Sabudana Khichdi,Fastfood,146,4,584,Cash,Male,Morning,Mahashivratri
193,12-02-2023,Bhel Puri,Fastfood,101,3,303,Cash,Male,Evening,None
194,19-02-2023,Filter Coffee,Beverage,128,4,512,Online,Male,Morning,Chhatrapati Shivaji Maharaj Jayanti
195,25-02-2023,Lassi,Beverage,182,1,182,Online,Female,Afternoon,None
196,01-02-2023,Paneer Tikka,Fastfood,61,2,122,Cash,Female,Night,None
197,24-02-2023,Tea,Beverage,102,4,408,Cash,Female,Evening,None
198,03-02-2023,Sabudana Khichdi,Fastfood,189,3,567,Online,Male,Morning,Mahashivratri
199,08-02-2023,Kachori,Fastfood,130,2,260,Online,Female,Afternoon,None
200,08-02-2023,Puranpoli,Fastfood,135,3,405,Cash,Male,Afternoon,Chhatrapati Shivaji Maharaj Jayanti
201,03-03-2023,Masala Dosa,Fastfood,120,1,120,Cash,Male,Morning,None
202,22-03-2023,Puran Poli,Fastfood,50,2,100,Online,Female,Evening,Gudi Padwa
203,15-03-2023,Vada Pav,Fastfood,30,2,60,Cash,Male,Afternoon,None
204,07-03-2023,Puran Poli,Fastfood,50,1,50,Online,Female,Evening,Holi
205,25-03-2023,Samosa,Fastfood,20,3,60,Cash,Male,Evening,None
206,10-03-2023,Masala Chai,Beverage,20,2,40,Cash,Female,Morning,None
207,28-03-2023,Filter Coffee,Beverage,30,1,30,Online,Male,Morning,None
208,01-03-2023,Dosa,Fastfood,100,1,100,Cash,Female,Evening,None
209,18-03-2023,Idli Sambhar,Fastfood,80,1,80,Online,Male,Morning,None
210,31-03-2023,Pav Bhaji,Fastfood,120,1,120,Cash,Female,Evening,None
211,02-03-2023,Chole Bhature,Fastfood,150,1,150,Online,Male,Afternoon,None
212,21-03-2023,Samosa Chaat,Fastfood,80,2,160,Cash,Female,Evening,None
213,14-03-2023,Dahi Puri,Fastfood,50,1,50,Online,Male,Afternoon,None
214,06-03-2023,Veg Thali,Fastfood,150,1,150,Cash,Female,Evening,None
215,24-03-2023,Kachori,Fastfood,30,2,60,Online,Male,Evening,None
216,09-03-2023,Lassi,Beverage,40,1,40,Cash,Female,Afternoon,None
217,27-03-2023,Butter Milk,Beverage,20,1,20,Online,Male,Afternoon,None
218,12-03-2023,Uttapam,Fastfood,80,1,80,Cash,Female,Morning,None
219,30-03-2023,Veg Thali,Fastfood,180,1,180,Online,Male,Afternoon,Ram Navami
220,05-03-2023,Pani Puri,Fastfood,40,1,40,Cash,Female,Evening,None
221,23-03-2023,Bhel Puri,Fastfood,60,2,120,Online,Male,Evening,None
222,16-03-2023,Aloo Tikki,Fastfood,50,1,50,Cash,Female,Afternoon,None
223,08-03-2023,Puran Poli,Fastfood,50,1,50,Online,Male,Evening,Holi
224,26-03-2023,Dabeli,Fastfood,40,2,80,Cash,Female,Evening,None
225,11-03-2023,Ginger Tea,Beverage,30,1,30,Online,Male,Morning,None
226,29-03-2023,Lemon Tea,Beverage,25,1,25,Cash,Female,Morning,None
227,03-03-2023,Upma,Fastfood,60,1,60,Online,Male,Morning,None
228,22-03-2023,Puran Poli,Fastfood,50,2,100,Cash,Female,Evening,Gudi Padwa
229,15-03-2023,Poha,Fastfood,50,1,50,Online,Male,Morning,None
230,07-03-2023,Puran Poli,Fastfood,50,1,50,Cash,Female,Evening,Holi
231,25-03-2023,Medu Vada,Fastfood,40,2,80,Online,Male,Morning,None
232,10-03-2023,Coffee,Beverage,35,1,35,Cash,Female,Morning,None
233,28-03-2023,Tea,Beverage,20,1,20,Online,Male,Morning,None
234,01-03-2023,Paratha,Fastfood,60,1,60,Cash,Female,Morning,None
235,18-03-2023,Sambar Vada,Fastfood,70,1,70,Online,Male,Afternoon,None
236,31-03-2023,Misal Pav,Fastfood,100,1,100,Cash,Female,Afternoon,None
237,02-03-2023,Sabudana Vada,Fastfood,60,1,60,Online,Male,Evening,None
238,21-03-2023,Bread Pakora,Fastfood,50,2,100,Cash,Female,Evening,None
239,14-03-2023,Aloo Paratha,Fastfood,80,1,80,Online,Male,Morning,None
240,06-03-2023,Veg Pulao,Fastfood,120,1,120,Cash,Female,Afternoon,None
241,24-03-2023,Onion Uttapam,Fastfood,90,1,90,Online,Male,Morning,None
242,09-03-2023,Mango Lassi,Beverage,60,1,60,Cash,Female,Afternoon,None
243,27-03-2023,Sweet Lassi,Beverage,50,1,50,Online,Male,Afternoon,None
244,12-03-2023,Masala Uttapam,Fastfood,90,1,90,Cash,Female,Morning,None
245,30-03-2023,Veg Thali,Fastfood,180,1,180,Online,Male,Afternoon,Ram Navami
246,05-03-2023,Sevpuri,Fastfood,50,1,50,Cash,Female,Evening,None
247,23-03-2023,Ragda Pattice,Fastfood,70,2,140,Online,Male,Evening,None
248,16-03-2023,Dahi Vada,Fastfood,60,1,60,Cash,Female,Afternoon,None
249,08-03-2023,Puran Poli,Fastfood,50,1,50,Online,Male,Evening,Holi
250,26-03-2023,Vada Pav,Fastfood,30,2,60,Cash,Female,Evening,None
251,11-03-2023,Masala Tea,Beverage,25,1,25,Online,Male,Morning,None
252,29-03-2023,Green Tea,Beverage,30,1,30,Cash,Female,Morning,None
253,03-03-2023,Idli Vada,Fastfood,70,1,70,Online,Male,Morning,None
254,22-03-2023,Puran Poli,Fastfood,50,2,100,Cash,Female,Evening,Gudi Padwa
255,15-03-2023,Sada Dosa,Fastfood,80,1,80,Online,Male,Morning,None
256,07-03-2023,Puran Poli,Fastfood,50,1,50,Cash,Female,Evening,Holi
257,25-03-2023,Onion Pakoda,Fastfood,60,2,120,Online,Male,Evening,None
258,10-03-2023,Cold Coffee,Beverage,50,1,50,Cash,Female,Afternoon,None
259,28-03-2023,Hot Chocolate,Beverage,80,1,80,Online,Male,Afternoon,None
260,01-03-2023,Aloo Puri,Fastfood,80,1,80,Cash,Female,Morning,None
261,18-03-2023,Dal Makhani,Fastfood,150,1,150,Online,Male,Evening,None
262,31-03-2023,Paneer Butter Masala,Fastfood,200,1,200,Cash,Female,Evening,None
263,02-03-2023,Chicken Tikka Masala,Fastfood,300,1,300,Online,Male,Evening,None
264,21-03-2023,Tandoori Chicken,Fastfood,250,2,500,Cash,Female,Evening,None
265,14-03-2023,Mutton Rogan Josh,Fastfood,350,1,350,Online,Male,Evening,None
266,06-03-2023,Fish Curry,Fastfood,200,1,200,Cash,Female,Evening,None
267,24-03-2023,Biryani,Fastfood,250,1,250,Online,Male,Afternoon,None
268,09-03-2023,Falooda,Beverage,100,1,100,Cash,Female,Afternoon,None
269,27-03-2023,Kulfi,Fastfood,50,1,50,Online,Male,Afternoon,None
270,12-03-2023,Gulab Jamun,Fastfood,80,1,80,Cash,Female,Evening,None
271,30-03-2023,Veg Thali,Fastfood,180,1,180,Online,Male,Afternoon,Ram Navami
272,05-03-2023,Jalebi,Fastfood,60,1,60,Cash,Female,Evening,None
273,23-03-2023,Rasmalai,Fastfood,120,2,240,Online,Male,Evening,None
274,16-03-2023,Gajar Ka Halwa,Fastfood,100,1,100,Cash,Female,Evening,None
275,08-03-2023,Puran Poli,Fastfood,50,1,50,Online,Male,Evening,Holi
276,26-03-2023,Samosa,Fastfood,20,2,40,Cash,Female,Evening,None
277,11-03-2023,Chai,Beverage,20,1,20,Online,Male,Morning,None
278,29-03-2023,Coffee,Beverage,30,1,30,Cash,Female,Morning,None
279,03-03-2023,Dosa,Fastfood,100,1,100,Online,Male,Morning,None
280,22-03-2023,Puran Poli,Fastfood,50,2,100,Cash,Female,Evening,Gudi Padwa
281,15-03-2023,Idli Sambhar,Fastfood,80,1,80,Online,Male,Morning,None
282,07-03-2023,Puran Poli,Fastfood,50,1,50,Cash,Female,Evening,Holi
283,25-03-2023,Pav Bhaji,Fastfood,120,1,120,Online,Male,Evening,None
284,10-03-2023,Masala Chai,Beverage,20,2,40,Cash,Female,Morning,None
285,28-03-2023,Filter Coffee,Beverage,30,1,30,Online,Male,Morning,None
286,01-03-2023,Chole Bhature,Fastfood,150,1,150,Cash,Female,Afternoon,None
287,18-03-2023,Samosa Chaat,Fastfood,80,2,160,Online,Male,Evening,None
288,31-03-2023,Dahi Puri,Fastfood,50,1,50,Cash,Female,Afternoon,None
289,02-03-2023,Veg Thali,Fastfood,150,1,150,Online,Male,Evening,None
290,21-03-2023,Kachori,Fastfood,30,2,60,Cash,Female,Evening,None
291,14-03-2023,Lassi,Beverage,40,1,40,Online,Male,Afternoon,None
292,06-03-2023,Butter Milk,Beverage,20,1,20,Cash,Female,Afternoon,None
293,24-03-2023,Uttapam,Fastfood,80,1,80,Online,Male,Morning,None
294,30-03-2023,Veg Thali,Fastfood,180,1,180,Cash,Female,Afternoon,Ram Navami
295,05-03-2023,Pani Puri,Fastfood,40,1,40,Online,Male,Evening,None
296,23-03-2023,Bhel Puri,Fastfood,60,2,120,Cash,Female,Evening,None
297,16-03-2023,Aloo Tikki,Fastfood,50,1,50,Online,Male,Afternoon,None
298,08-03-2023,Puran Poli,Fastfood,50,1,50,Cash,Female,Evening,Holi
299,26-03-2023,Dabeli,Fastfood,40,2,80,Online,Male,Evening,None
300,11-03-2023,Ginger Tea,Beverage,30,1,30,Cash,Female,Morning,None
301,04-04-2023,Jain Thali,Fastfood,150,1,150,Online,Male,Afternoon,Mahavir Jayanti
302,25-04-2023,Butter Milk,Beverage,20,1,20,Cash,Female,Afternoon,None
303,12-04-2023,Masala Dosa,Fastfood,120,1,120,Online,Male,Morning,None
304,29-04-2023,Lemon Tea,Beverage,25,1,25,Cash,Female,Morning,None
305,16-04-2023,Aloo Tikki,Fastfood,50,1,50,Online,Male,Afternoon,None
306,09-04-2023,Easter Egg,Fastfood,30,2,60,Cash,Female,Evening,Easter
307,27-04-2023,Sweet Lassi,Beverage,50,1,50,Online,Male,Afternoon,None
308,14-04-2023,Aloo Paratha,Fastfood,80,1,80,Cash,Female,Morning,None
309,07-04-2023,Bitter Gourd Juice,Beverage,35,1,35,Online,Male,Morning,Good Friday
310,25-04-2023,Vada Pav,Fastfood,30,2,60,Cash,Female,Evening,None
311,12-04-2023,Masala Chai,Beverage,20,2,40,Online,Male,Morning,None
312,29-04-2023,Filter Coffee,Beverage,30,1,30,Cash,Female,Morning,None
313,16-04-2023,Dahi Vada,Fastfood,60,1,60,Online,Male,Afternoon,None
314,09-04-2023,Easter Egg,Fastfood,30,2,60,Cash,Female,Evening,Easter
315,27-04-2023,Mango Lassi,Beverage,60,1,60,Online,Male,Afternoon,None
316,14-04-2023,Veg Pulao,Fastfood,120,1,120,Cash,Female,Afternoon,None
317,07-04-2023,Bitter Gourd Juice,Beverage,35,1,35,Online,Male,Morning,Good Friday
318,25-04-2023,Samosa,Fastfood,20,3,60,Cash,Female,Evening,None
319,12-04-2023,Idli Sambhar,Fastfood,80,1,80,Online,Male,Morning,None
320,29-04-2023,Tea,Beverage,20,1,20,Cash,Female,Morning,None
321,16-04-2023,Aloo Tikki,Fastfood,50,1,50,Online,Male,Afternoon,None
322,09-04-2023,Easter Egg,Fastfood,30,2,60,Cash,Female,Evening,Easter
323,27-04-2023,Bhel Puri,Fastfood,60,2,120,Online,Male,Evening,None
324,14-04-2023,Onion Uttapam,Fastfood,90,1,90,Cash,Female,Morning,None
325,07-04-2023,Bitter Gourd Juice,Beverage,35,1,35,Online,Male,Morning,Good Friday
326,25-04-2023,Dabeli,Fastfood,40,2,80,Cash,Female,Evening,None
327,12-04-2023,Masala Uttapam,Fastfood,90,1,90,Online,Male,Morning,None
328,29-04-2023,Green Tea,Beverage,30,1,30,Cash,Female,Morning,None
329,16-04-2023,Dahi Vada,Fastfood,60,1,60,Online,Male,Afternoon,None
330,09-04-2023,Easter Egg,Fastfood,30,2,60,Cash,Female,Evening,Easter
